Split_id	Input_Company_name		CIN	MCA_Company_Name	Company_Address	MCA_Status	status
"sp2,negative"	INSIGNE SOLUTIONS PVT LTD		U72200TG2007PTC053825	INSIGNE SOLUTIONS PRIVATE LIMITED	"7-1-25/1, 1ST FLOOR, ARIHANT ARCADE OPPOSITE CANARA BANK, GREEN LANDS,BEGUMPET-500016 HYDERABAD Hyderabad TG 500016 IN"	Strike Off	
"sp2,negative"	ISERVE BPO PVT LTD		U74900MH2012PTC235511	ISERVE BPO PRIVATE LIMITED	"3RD FLOOR, HARI OM I.T. PARK, MAHAJAN WADI NEAR MIDC TANK, BEHIND ICON TEMPLE, MIRA ROAD (E) THANE Thane MH 401107 IN"	Strike Off	
"sp2,negative"	ISHWARYA AZOICS LTD		U18201TN2006PLC114337	ISHWARYA AZOICS LIMITED	"17 D, KEERAIKARANTHATTU TISAIYANVILAI TIRUNELVELI Tirunelveli TN 627657 IN"	Active	
"sp2,negative"	JALPOWER CORPORATION LTD		U40109TG2004PLC043985	JALPOWER CORPORATION LIMITED	"Road # 07, Flat # B2, Film Nagar, Jubilee Hills, Hyderabad TG 500033 IN"	Active	
"sp2,negative"	JAS INFRASTRUCTURE AND POWER		U40109WB2002PLC162558	JAS INFRASTRUCTURE AND POWER LIMITED	"FE-83, SECTOR-III SALT LAKE CITY, GROUND FLOOR KOLKATA Kolkata WB 700106 IN"	Active	
"sp2,negative"	JASONS GOLDEN BREWERIES P LTD		U15530TN2008PTC066568	JASONS GOLDEN BREWERIES PRIVATE LIMITED	"OLD NO.19&20/12, NEW NO.38/12, VENKATARAMAN STREET T. NAGAR CHENNAI Chennai TN 600017 IN"	Strike Off	
"sp2,negative"	JAYARAAMAN BIZ CONSULTS P LTD		U93000TN2013PTC093081	JAYARAAMAN BUSINESS CONSULTANTS PRIVATE LIMITED	"Flat No G-D, Suvarnalok Apartments, Old No 19, New No 34, Melony Road, T. Nagar Chennai Chennai TN 600017 IN"	Active	
"sp2,negative"	JAYKAY TECH LIMITED		U74899DL1988PLC030516	JAYKAY TECH LIMITED	"24, ASHOKA ESTATE BARAKHAMBA ROAD NEW DELHI Gurgaon DL 110001 IN"	Strike Off	
"sp2,negative"	JAZZ CINEMAS P LTD		U74900TN2005PTC057405	JAZZ CINEMAS PRIVATE LIMITED	"21A, INDUSTRIAL ESTATE GUINDY CHENNAI Chennai TN 600032 IN"	Active	
"sp2,negative"	JIJAMATA SUGAR AND PWR IND LTD		U15511PN2003PTC017882	JIJAMATA SUGAR AND POWER INDUSTRIES LIMITED	"VARSHA MADGULKAR-JIJAMATA MAHILA SAHAKARI BANK LTD RAJDHANI TOWERS, RAJWADA SATARA Satara MH 415002 IN"	Strike Off	
"sp2,negative"	JINDAL ITF LTD		U74900UP2007PLC069247	JINDAL ITF LIMITED	"A-1,UPSIDC INDUSTRIAL AREA,NANDGAON ROAD, KOSI KALAN, MATHURA Uttar Pradesh Mathura UP 281403 IN"	Active	
"sp2,negative"	JIVANJYOTI MERCANTILE LIMITED		U51909MH2010PLC201822	JIVANJYOTI MERCANTILE LIMITED	"G-44, Zoom Plaza, Meter Room No.1, L.T. Road, Opp. Gorai Bus Depot, Borivali (West) Mumbai Mumbai City MH 400092 IN"	Strike Off	
"sp2,negative"	JUBILANT OFFSHORE DRILLING		U11101UP2004FTC047908	JODPL PRIVATE LIMITED	Plot No. 15 Knowledge Park II Greater Noida Gautam Buddha Nagar UP 201306 IN	Under Liquidation	
"sp2,negative"	K G CORPORATION LTD		U40100DN2005PLC000185	KG CORPORATION LIMITED	"65, KRISHNA NAGAR,SAMARVANI, SILVASSA U.T. OF DADRA & NAGAR HAAVELI SILVASSA DN 000000 IN"	Active	
"sp2,negative"	ELECTROWORLD DI ITAL SOLUTIONS LTD		L72200KA2002PLC030072	XCHANGING SOLUTIONS LIMITED	"SJR I Park, Plot No.13, 14, 15, EPIP Industrial Area, Phase 1,Whitefield, bangalore Bangalore KA 560066 IN"	Active	
"sp2,negative"	EMCO ENERGY LTD		L31102MH1964PLC013011	EMCO LIMITED	"N-104, MIDC AREA, JALGAON MH 425003 IN"	Active	
"sp2,negative"	KAKHANI METAL PVT LTD		U28112GJ2008PTC054346	KAKHANI METAL PRIVATE LIMITED	"304, NILKANTH PLAZA, OPP. POLICE COMMISSIONER OFFICE, SAHIBAUG AHMEDABAD Ahmedabad GJ 380004 IN"	Active	
"sp2,negative"	EMERALD ENGINEERING P LTD		U29191TZ1978PTC000809	EMERALD ENGINEERING PRIVATE LIMITED	6/9 CHOLLOW BLOCK ROAD SUGUNAPURAM COIMBATORE TN 641008 IN	Active	
"sp2,negative"	EMINENT FINANCIAL SERVICES LTD		U65991TN1991PLC020784	EMINENT FINANCIAL SERVICES LTD	"NO 151, SRI RANGA, MAMBALAM HIGH ROAD, T NAGAR CHENNAI TN 600017 IN"	Active	
"sp2,negative"	KAPICO KERALA RESORTS PVT LTD		U55101KL2006PTC020059	KAPICO KERALA RESORTS PRIVATE LIMITED	"Building No:62/376 1st Floor, Kozhiparambath house Church Landing road,Ernakulam ,Kochi-682016 Ernakulam Ernakulam KL 682016 IN"	Active	
"sp2,negative"	KAPSON POLYCOATS IND PVT LTD		U25209DL1998PTC096483	KAPSON POLYCOATS (INDIA) PRIVATE LIMITED	"10705, JHANDEWALAN ROAD NABI KARIM NEW DELHI Central Delhi DL 110055 IN"	Strike Off	
"sp2,negative"	ENVIRON BIOWASTE SYS IND P LTD		U90000TN2010PTC075741	ENVIRON BIOWASTE SYSTEMS INDIA PRIVATE LIMITED	"A-4, ALAGANANDA APARTMENTS No.63, SEETHAMMAL ROAD, ALWARPET CHENNAI Chennai TN 600018 IN"	Active	
"sp2,negative"	KATRA HOLDING PVT LTD		U05190KA2003PTC032633	KATRA HOLDING PRIVATE LIMITED	"1134, IST FLOOR , 100 FT ROAD HAL 2ND STAGE BANGALORE KA 560008 IN"	Active	
"sp2,negative"	KENTAA STEELS P LTD		U52100TN2008PTC068629	KENTAA STEELS PRIVATE LIMITED	NO 151 MAMBALAM HIGH ROAD T NAGAR CHENNAI TN 600017 IN	Strike Off	
"sp2,negative"	KERALA STATE CASHEW DEV COPRN		U15493KL1969SGC002234	KERALA STATE CASHEW DEVELOPMENT COPRN LTD	CASHEW HOUSE POST BOX NO 13QUILON KERALA QUILON KL 691001 IN	Active	
"sp2,negative"	KERALA STATE DEV COR SCH CASTE		U91990KL1988SGC004978	"KERALA STATE WOMEN""S DEVELOPMENT CORPORATION LIMITED"	T.C 20/2170 ' BASANTH' OPP MANMOHAN BANGLOW KAWDIAR P.O THIRUVANANTHAPURAM KL 695003 IN	Active	
"sp2,negative"	ESAF MICROFIN AND INVESTMENTS		U65910TN1996PTC036650	ESAF MICROFINANCE AND INVESTMENTS PRIVATE LIMITED	"NO 8/9, MANSUK BUILDINGS, FLAT NO.3A, 3RD FLOOR, GANGADEESWARA KOIL ST, PURASAWALKAM, CHENNAI Chennai TN 600084 IN"	Active	
"sp2,negative"	KERALA STATE INFO TECH INFRA		U45309KL1961SGC001937	KERALA STATE INDUSTRIAL DEVELOPMENT CORPN LTD	T C 11/266 1KESTON ROAD KOWDIAR TRIVANDRUM KL 695003 IN	Active	
"sp2,negative"	ESS ESS EXIM PRIVATE LIMITED		U51909DL1997PTC245649	ESS ESS EXIM PRIVATE LIMITED	"1596,1st Floor Bhagirath Palace, Chandni Chowk Delhi Central Delhi DL 110006 IN"	Strike Off	
"sp2,negative"	ESSAR BULK TERMINAL SALAYA		U63032GJ2007PLC093255	ESSAR BULK TERMINAL (SALAYA) LIMITED	"SALAYA ADMINISTRATIVE BUILDING, 44 KM STONE JAMNAGAR-OKHA HIGHWAY, PO BOX NO. 07 KHAMBHALIYA Jamnagar GJ 361305 IN"	Active	
"sp2,negative"	KHAZZANA FINVEST P LTD		U93000DL1996PTC080526	KHAZZANA FINVEST PRIVATE LIMITED	"K. NO.43/22/2, BEHIND VASANT KUNJ MEHRAULI KISHANGARH NEW DELHI DL 110070 IN"	Active	
"sp2,negative"	ESSAR POWER GUJARAT LTD		U74900GJ2007PLC066273	ESSAR POWER GUJARAT LIMITED	"Salaya Administrative Building, 44 KM,Post Box No7 Jamnagar-Okha Highway, Post Khambhaliya Jamnagar GJ 361305 IN"	Active	
"sp2,negative"	KHIYATI MACHINE TOOLS PVT LTD		U29268MH2011PTC218548	KHIYATI MACHINE TOOLS PRIVATE LIMITED	"22, RAJA BAHADUR MANSION 2ND FLOOR BOMBAY SAMACHAR MARG, FORT MUMBAI Thane MH 400001 IN"	Strike Off	
"sp2,negative"	ESSAR POWER HAZIRA LTD		U40100GJ1991PLC064824	ESSAR POWER LIMITED	"27th KM, SURAT HAZIRA ROAD HAZIRA SURAT GJ 394270 IN"	Active	
"sp2,negative"	KIDS ANIMATION IND PVT LTD		U92190MH2007PTC174560	KIDS ANIMATION INDIA PRIVATE LIMITED	"HARIHAR CORPORATION, BUILDING NO SS/2, GALA NO .9, GROUND FLOOR DAPODA VILLAGE, MANKOLI BHIWANDI MH 421302 IN"	Strike Off	
"sp2,negative"	ESSAR POWER M P LTD		U40100DL2005PLC201961	ESSAR POWER M P LIMITED	"Lower Ground Floor, Hotel Conclave Boutique, A-20, Kailash Colony, New Delhi New Delhi DL 110048 IN"	Active	
"sp2,negative"	KIREETI POWER CORP PVT LTD		U40102TG2007PTC053773	KIREETI POWER CORPORATION PRIVATE LIMITED	"PLOT NO.1121, S.NO.403/1 ROAD NO.54, JUBILEE HILLS HYDERABAD Hyderabad TG 500034 IN"	Strike Off	
"sp2,negative"	ESSKAY MOTORS PVT LTD		U34300MH2011PTC217218	ESSKAY MOTORS PRIVATE LIMITED	"Ground Floor, Motilal oswal Tower, Junction of Ghokhale & Sayani Road, Prabhadevi Mumbai Mumbai City MH 400025 IN"	Active	
